"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"C10","C_0201_0603Metric",1,"33nF",,,
2,"D1,D3,D2,D4","D_SMA",4,"SS14",,,
3,"C17,C20,C19,C18","C_0201_0603Metric",4,"1pF",,,
4,"D12,D10,D9,D11","LED_0805_2012Metric",4,"LED",,,
5,"C22,C21,C29,C32,C1","C_0201_0603Metric",5,".1uF",,,
6,"C16","C_0201_0603Metric",1,".3pF",,,
7,"Q2","SOT-23",1,"AO3401A",,,
8,"C14,C8","C_0201_0603Metric",2,"10nF",,,
9,"R8,R6","C_0805_2012Metric",2,"1k",,,
10,"L3","C_0201_0603Metric",1,"3.9nH",,,
11,"R12,R13,R2,R1","C_0805_2012Metric",4,"1K",,,
12,"R3,R9","C_0805_2012Metric",2,"1.2K",,,
13,"R5","C_0805_2012Metric",1,"22k",,,
14,"R10","C_0805_2012Metric",1,"220",,,
15,"L5","L_1206_3216Metric",1,"4.7uH",,,
16,"C28,C26,C25,C27","C_0201_0603Metric",4,"10uF",,,
17,"R14","C_0805_2012Metric",1,"100",,,
18,"U8","SOT-23-6",1,"DW01A",,,
19,"R16,R17","C_0805_2012Metric",2,"10K",,,
20,"L2,L6,L4","C_0201_0603Metric",3,"2.7nH",,,
21,"C6","C_0201_0603Metric",1,"1.5pF",,,
22,"C23,C24","C_0201_0603Metric",2,"22uF",,,
23,"U9","SOT-23-6",1,"MT3608",,,
24,"C30,C11,C12,C31","C_0201_0603Metric",4,"22pF",,,
25,"R19","C_0805_2012Metric",1,"330",,,
26,"J-LED1,J-Trigger1,J-BattLED1,J-18650,J-Spare1","353170221",5,"35317-0221",,,
27,"R7","C_0805_2012Metric",1,"2k",,,
28,"U5","QFN50P300X300X60-17N",1,"RFX2401C",,,
29,"C7","C_0201_0603Metric",1,"1.0pF",,,
30,"R15","C_0805_2012Metric",1,"32.4K",,,
31,"U6","SOT-223-3_TabPin2",1,"AMS1117",,,
32,"C5","C_0201_0603Metric",1,"4.7pf",,,
33,"C4","C_0201_0603Metric",1,"2.2nF",,,
34,"R18,R11","C_0805_2012Metric",2,"5.1K",,,
35,"J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12",1,"USB_C_Receptacle",,,
36,"C9","C_0201_0603Metric",1,"1nF",,,
37,"J-Joystick1","RHDR6W107P420_2X3_1380X960X1310P",1,"35317-0620",,,
38,"C13","C_0201_0603Metric",1,"220pF",,,
39,"Y2,Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm",2,"16MHz",,,
40,"U2","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",1,"TP4056-42-ESOP8",,,
41,"J-PowerSwitch1","SHDR4W107P420_2X2_960X960X1280P",1,"35317-0420",,,
42,"C15","C_0201_0603Metric",1,"1uF",,,
43,"U4","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",1,"nRF24L01P",,,
44,"L1","C_0201_0603Metric",1,"8.2nH",,,
45,"J2","SMA_Amphenol_132289_EdgeMount",1,"SMA-RP",,,
46,"Q3","SOT-23-6",1,"FS8205A",,,
47,"U3","TQFP-44_10x10mm_P0.8mm",1,"ATmega32U4-A",,,
